00000,1224838,1223863,352600,113432,0.3217,59738,0.1694
00001,1224838,1223863,44502,14442,0.3245,8537,0.1918
00010,1224838,1223863,16906,5060,0.2993,3617,0.2139
00011,1224838,1223863,85472,26216,0.3067,15533,0.1817
00100,1224838,1223863,137814,22174,0.1609,44450,0.3225
00101,1224838,1223863,19501,3494,0.1792,6392,0.3278
00110,1224838,1223863,52461,8671,0.1653,17170,0.3273
00111,1224838,1223863,286416,43314,0.1512,89820,0.3136
01000,1224838,1223863,711248,256861,0.3611,53733,0.0755
01001,1224838,1223863,280793,97125,0.3459,28154,0.1003
01010,1224838,1223863,34789,8801,0.2530,6170,0.1774
01011,1224838,1223863,424475,110440,0.2602,62749,0.1478
01100,1224838,1223863,28588,2925,0.1023,9050,0.3166
01101,1224838,1223863,11524,1394,0.1210,3767,0.3269
01110,1224838,1223863,46056,4999,0.1085,15219,0.3304
01111,1224838,1223863,511010,46769,0.0915,162584,0.3182
10000,1224838,1223863,452070,166793,0.3690,52963,0.1172
10001,1224838,1223863,49115,17616,0.3587,6841,0.1393
10010,1224838,1223863,7456,2466,0.3307,1101,0.1477
10011,1224838,1223863,23224,7967,0.3431,3414,0.1470
10100,1224838,1223863,448670,79252,0.1766,114017,0.2541
10101,1224838,1223863,35997,7340,0.2039,8954,0.2487
10110,1224838,1223863,305921,30314,0.0991,94868,0.3101
10111,1224838,1223863,829213,63729,0.0769,266913,0.3219
11000,1224838,1223863,145458,58940,0.4052,6669,0.0458
11001,1224838,1223863,26001,9513,0.3659,1925,0.0740
11010,1224838,1223863,1978,583,0.2947,201,0.1016
11011,1224838,1223863,8699,2707,0.3112,757,0.0870
11100,1224838,1223863,9583,816,0.0852,2415,0.2520
11101,1224838,1223863,3073,347,0.1129,757,0.2463
11110,1224838,1223863,27290,1645,0.0603,8064,0.2955
11111,1224838,1223863,206393,8693,0.0421,67321,0.3262
